#separator:tab
#html:false
#columns:Front,Back,Tags
#tags column:3
What are the 5 stages of the SaaS video library curriculum?	Product, Business Model & Pricing, Go-To-Market, Customers, Marketing	saas-video
Which skill type dominates during Growth and Mature stages?	Delivery skills (execution, optimization)	innovation-lifecycle
What is the innovator's core job across the business life cycle, per this model?	Recognize which lifecycle phase the business is in and rebalance the skill mix - especially to spark the next S-curve before decline	innovation-lifecycle
What is the optimal team size for a "lifestyle boutique" business?	4 to 12 people	lifestyle-business
What are the "Five Ps" of founder-led growth (Key Person of Influence)?	Pitching, Publishing, Product development, Raising your Profile, Partnerships	lifestyle-business
What operational hire frees the founder from day-to-day operations?	A General Manager, often with hospitality management experience	lifestyle-business
What are the four products in the required "product ecosystem"?	A Gift (free/digital), a Product for Prospects (low cost/low friction), a Core Product, a Product for Clients (recurring subscription)	lifestyle-business
What is the "SAND" dashboard?	"Sleep At Night Dashboard" - tracks vital signs like cash in bank, database size, and red flags	lifestyle-business
What's the financial benchmark for revenue per team member in a profitable lifestyle business?	At least $125,000 per team member	lifestyle-business
What % of capital does the top 10% control, per this source?	Approximately 60%	rich-people-sales
How long does it typically take to build real trust with serious money?	12-24 months	rich-people-sales
What is the "Social Pitch" acronym and its 6 parts?	Name, Same, Fame, Pain, Aim, Game	rich-people-sales
What should you always ask before delivering the Social Pitch?	Permission - "Would it be OK if I share a 30-second version of what I'm up to?"	rich-people-sales
With wealthy prospects, what matters more - pitching or asking questions?	Sharp, specific questions outperform a polished pitch - the pitch gets you in the door, questions get the deal	rich-people-sales
What is "Contextual Adjacency" in the attention-of-rich-people framework?	Aligning visible markers - locations, brands, education, mutual connections - with the client's world before you speak	rich-people-sales
What's the caveat about signaling / contextual adjacency?	Works on aspirational/new money; old money often sees through costume and rewards quiet competence	rich-people-sales
What is the discretion principle with wealthy clients?	Confidentiality is a competitive advantage - don't name-drop clients or leak deal details	rich-people-sales
What are the 5 steps of "Land & Expand"?	1) Generate proof first (free education/research) 2) Deliver findings as a printed review 3) Let them propose the deal 4) Double down or part ways after two wins 5) Earn the referral	rich-people-sales
What is the "printed review" tactic for?	Gives the prospect something tangible to share with advisors, spouse, or assistants	rich-people-sales
What is the key strategic shift recommended for premium sales?	Drop "anyone and everyone" - pick one high-value niche and own it	rich-people-sales
What is the "Ghost Product" sales strategy?	Point customers to a cheaper option elsewhere to build trust, turning the interaction from adversarial to collaborative	rich-people-sales
What is the "Prescriptive Close" tactic?	Link product use to an existing daily habit (e.g. brushing teeth) to drive compliance	rich-people-sales
What payment structure does this source recommend for premium/outcome-based sales?	Secure paid commitments before development starts; charge based on outcomes, not hours	rich-people-sales
